,행정구,사업장명,업태구분명,지번주소,도로명주소,X,Y
1163,관악구,주주 노래바,단란주점,서울특별시 관악구 봉천동 945-1 지하1층 ,"서울특별시 관악구 남부순환로 1702 (봉천동,지하1층)",194548.651692342,442330.324311379
1164,관악구,황금성 7080,단란주점,서울특별시 관악구 신림동 1658-21번지 ,"서울특별시 관악구 조원중앙로 25, 지하1층 (신림동)",191583.354051511,442197.106571292
1165,관악구,다나,단란주점,서울특별시 관악구 신림동 1430-4 ,서울특별시 관악구 신림로 383 (신림동),193579.537895404,442899.970020959
1166,관악구,카톡소주노래클럽,단란주점,서울특별시 관악구 신림동 1428-6번지 ,서울특별시 관악구 봉천로 250 (신림동),193648.942051562,442932.143196354
1167,관악구,파티파티노래방,단란주점,서울특별시 관악구 신림동 1433-141 ,서울특별시 관악구 관천로 52 (신림동),193441.641940009,442464.266872526
1168,관악구,7080써니,단란주점,서울특별시 관악구 봉천동 464-2번지 ,서울특별시 관악구 은천로 113 (봉천동),195328.996907527,442754.358422417
1169,관악구,오케이노래바,단란주점,서울특별시 관악구 신림동 1655-43 ,서울특별시 관악구 조원로2길 48 (신림동),191210.00657717,442171.323473374
1170,관악구,황실메들리,단란주점,서울특별시 관악구 신림동 566-7번지 ,서울특별시 관악구 남부순환로 지하 1405 (신림동),191679.93220392,442057.783728715
1171,관악구,쎈스노래노래,단란주점,서울특별시 관악구 신림동 681-8 ,서울특별시 관악구 난곡로 103 (신림동),192767.454208184,440299.376149385
1172,관악구,붕붕노래바,단란주점,서울특별시 관악구 신림동 518-2번지 ,"서울특별시 관악구 신사로 94, 지하1층 (신림동)",192250.237797802,442720.885235603
1173,관악구,벤틀리,단란주점,서울특별시 관악구 신림동 1666번지 ,"서울특별시 관악구 시흥대로 548, 지하1층 (신림동)",191182.000480527,442181.791890078
1174,관악구,희원비즈니스,룸살롱,서울특별시 관악구 신림동 1425-29번지 ,"서울특별시 관악구 봉천로12길 34, 지하1층 (신림동)",193702.497,442777.3106
1175,관악구,싱크홀 (sinkhole),고고(디스코)클럽,서울특별시 관악구 신림동 1638-3번지 ,"서울특별시 관악구 신림로59길 17, 지하1층 (신림동)",193631.5001,442309.9875
1176,관악구,울랄라노래빠,룸살롱,서울특별시 관악구 신림동 530-29번지 ,"서울특별시 관악구 난곡로 325 (신림동, 지하1층)",192327.3602,442321.7351
1177,관악구,전국노래장,룸살롱,서울특별시 관악구 신림동 1638-15번지 ,"서울특별시 관악구 신원로 39, 지하1층 (신림동)",193685.3671,442254.3604
1178,관악구,스타일,룸살롱,서울특별시 관악구 신림동 1431-10 ,서울특별시 관악구 신림로 363-1 (신림동),193646.5607,442722.6122
1179,관악구,오페라 하우스,룸살롱,서울특별시 관악구 신림동 527-10 ,"서울특별시 관악구 남부순환로 1483, 지하1층 (신림동)",192437.5707,442237.5146
1180,관악구,1.2.3.노래팡,룸살롱,서울특별시 관악구 남현동 1059-9번지 ,서울특별시 관악구 남현1길 19 (남현동),198034.3972,441532.9103
1181,관악구,리치,룸살롱,서울특별시 관악구 봉천동 858-7번지 ,서울특별시 관악구 남부순환로 1827 (봉천동),195808.0571,442130.0008
